kepid,kepoi_name,kepler_name,koi_disposition,koi_prad,koi_period,koi_teq,koi_srad,koi_steff,koi_tce_plnt_num
10549023,"K02131.01","Kepler-1112 b","CONFIRMED",2.31,14.36270451,918.0,1.2160,6643.00,1
9661979,"K02132.01","Kepler-1681 b","CONFIRMED",3.04,69.8956789,442.0,1.1040,5390.00,1
8219268,"K02133.01","Kepler-91 b","CONFIRMED",14.93,6.24667547,1902.0,6.2210,4604.00,1
10531955,"K02208.01","Kepler-1141 b","CONFIRMED",0.97,2.344512589,1471.0,1.1320,5821.00,1
4833421,"K00232.02","Kepler-122 b","CONFIRMED",2.27,5.766165573,1159.0,1.1910,6038.00,2
8168187,"K02209.01","Kepler-1142 b","CONFIRMED",2.72,18.3027235,902.0,1.8390,5528.00,1
4142847,"K02210.01","Kepler-1143 b","CONFIRMED",1.68,2.888904439,976.0,0.7590,4895.00,2
10203349,"K02212.01","Kepler-1144 b","CONFIRMED",3.64,17.14648756,811.0,1.4120,5559.00,1
9718066,"K02287.01","Kepler-378 b","CONFIRMED",0.98,16.09227518,503.0,0.6700,4657.00,1
3440978,"K02288.01",,"CANDIDATE",4.08,38.103908,456.0,0.7710,5250.00,1
3867615,"K02289.01","Kepler-379 c","CONFIRMED",2.28,62.7843981,530.0,1.2600,6053.00,1
12121570,"K02290.01","Kepler-1816 b","CONFIRMED",1.82,91.500873,310.0,0.7060,5051.00,1
8410415,"K02291.01","Kepler-1817 b","CONFIRMED",2.68,44.2993483,463.0,0.9150,5316.00,1
7987866,"K02363.01","Kepler-1832 b","CONFIRMED",0.97,3.13877646,1022.0,0.7220,5242.00,1
9532710,"K02364.01",,"CANDIDATE",3.86,5.24242029,1367.0,1.8290,5383.00,1
11560897,"K02365.01","Kepler-430 b","CONFIRMED",2.95,35.9682692,674.0,1.5290,5883.00,1
11342416,"K02366.01","Kepler-1209 b","CONFIRMED",1.67,25.3690868,755.0,1.4060,6126.00,1
9086251,"K02367.01","Kepler-1833 b","CONFIRMED",1.35,6.89213244,1177.0,1.4460,6164.00,1
4254466,"K02134.01","Kepler-1113 b","CONFIRMED",2.54,42.3006282,558.0,1.1290,5852.00,1
5801571,"K00225.01",,"FALSE POSITIVE",44.67,0.838597429,2278.0,1.2360,6366.00,1
9904006,"K02135.01","Kepler-361 c","CONFIRMED",2.47,55.1866213,568.0,1.2670,6178.00,1
5288570,"K02136.01",,"FALSE POSITIVE",5.07,1.728528176,2720.0,3.2790,6153.00,1
9364609,"K02137.01","Kepler-1114 b","CONFIRMED",1.28,14.97436238,631.0,0.8000,5311.00,1
7457296,"K02213.01","Kepler-1145 b","CONFIRMED",1.6,3.97076603,958.0,0.7780,5178.00,1
10328458,"K02214.01","Kepler-1146 b","CONFIRMED",1.29,2.352273912,1019.0,0.7480,4816.00,1
7050060,"K02215.01",,"FALSE POSITIVE",28.78,22.0425953,760.0,1.2600,5974.00,1
4248120,"K02216.01","Kepler-1808 b","CONFIRMED",2.21,23.34036251,601.0,0.8920,5530.00,1
9580992,"K02217.01",,"CANDIDATE",2.95,37.8034121,460.0,0.8190,5329.00,1
